GD_RATE_AMOUNT_NUMB	RATE_AMOUNT	Number
PYR_Nvn_OTL_Regular_TIME_FACTOR	Nvn_OTL_Regular_TIME_FACTOR	
GD_TIME_FACTOR_NUMB	TIME_FACTOR	Number
PYR_Nvn_OTL_Regular_PAYMENT_RATE	Nvn_OTL_Regular_PAYMENT_RATE	
GD_PAYMENT_RATE_NUMB	PAYMENT_RATE	Number
PYR_ZPAY_BAT_TL_ELE_City	ZPAY_BAT_TL_ELE_City	
PYR_ZPAY_BAT_TL_ELE_State	ZPAY_BAT_TL_ELE_State	
PYR_ZPAY_BAT_TL_ELE_County	ZPAY_BAT_TL_ELE_County	
PYR_ZPAY_BAT_TL_ELE_RATE_AMOUNT	ZPAY_BAT_TL_ELE_RATE_AMOUNT	
PYR_ZPAY_BAT_TL_ELE_TIME_FACTOR	ZPAY_BAT_TL_ELE_TIME_FACTOR	
PYR_ZPAY_BAT_TL_ELE_PAYMENT_RATE	ZPAY_BAT_TL_ELE_PAYMENT_RATE	
PYR_BI_OTL_Regular_1_City	BI_OTL_Regular_1_City	
PYR_BI_OTL_Regular_1_State	BI_OTL_Regular_1_State	
PYR_BI_OTL_Regular_1_County	BI_OTL_Regular_1_County	
PYR_BI_OTL_Regular_1_RATE_AMOUNT	BI_OTL_Regular_1_RATE_AMOUNT	
PYR_BI_OTL_Regular_1_TIME_FACTOR	BI_OTL_Regular_1_TIME_FACTOR	
PYR_BI_OTL_Regular_1_PAYMENT_RATE	BI_OTL_Regular_1_PAYMENT_RATE	
PYR_Nvn_OTL_Overtime_City	Nvn_OTL_Overtime_City	
PYR_Nvn_OTL_Overtime_State	Nvn_OTL_Overtime_State	
PYR_Nvn_OTL_Overtime_County	Nvn_OTL_Overtime_County	
PYR_Nvn_OTL_Overtime_RATE_AMOUNT	Nvn_OTL_Overtime_RATE_AMOUNT	
PYR_Nvn_OTL_Overtime_TIME_FACTOR	Nvn_OTL_Overtime_TIME_FACTOR	
PYR_Nvn_OTL_Overtime_PAYMENT_RATE	Nvn_OTL_Overtime_PAYMENT_RATE	
PYR_BI_OTL_OverTime_1_City	BI_OTL_OverTime_1_City	
PYR_BI_OTL_OverTime_1_State	BI_OTL_OverTime_1_State	
PYR_BI_OTL_OverTime_1_County	BI_OTL_OverTime_1_County	
PYR_BI_OTL_OverTime_1_RATE_AMOUNT	BI_OTL_OverTime_1_RATE_AMOUNT	
PYR_BI_OTL_OverTime_1_TIME_FACTOR	BI_OTL_OverTime_1_TIME_FACTOR	
PYR_BI_OTL_OverTime_1_PAYMENT_RATE	BI_OTL_OverTime_1_PAYMENT_RATE	
GD_UOM_CHAR	UOM	Varchar
GD_Periodicity_CHAR	Periodicity	Varchar
PYR_City Code	City Code	
PYR_County Code	County Code	
PYR_School District Code	School District Code	
PYR_Segment 1	Segment 1	
PYR_Segment 10	Segment 10	
PYR_Segment 11	Segment 11	
PYR_Segment 12	Segment 12	
PYR_Segment 2	Segment 2	
PYR_Segment 3	Segment 3	
PYR_State Code	State Code	
BI_DATE_CUSTOMATTRIBUTE	BI_Date_CustomAttribute	Date
BI_TIMESTAMP_CUSTOMATTRIBUTE	BI_TimeStamp_CustomAttribute	Timestamp
BI_TEXT_CUSTOMATTRIBUTE_01	BI_Text_CustomAttribute_01	Varchar
BI_DATE_CUSTOMATTRIBUTE_03	BI_Date_CustomAttribute_03	Date
ZOTL_CUSTOMER	ZOTL Customer	Varchar
PYR_WFM_UK_OVERTIME_RATE_AMOUNT	WFM_UK_OVERTIME_RATE_AMOUNT	
PYR_WFM_UK_OVERTIME_TIME_FACTOR	WFM_UK_OVERTIME_TIME_FACTOR	
PYR_WFM_UK_OVERTIME_PAYMENT_RATE	WFM_UK_OVERTIME_PAYMENT_RATE	
PYR_ZCMP US STD Salary Hourly_City	ZCMP US STD Salary Hourly_City	
PYR_ZCMP US STD Salary Hourly_State	ZCMP US STD Salary Hourly_State	
PYR_ZCMP US STD Salary Hourly_Units	ZCMP US STD Salary Hourly_Units	
GD_Units_NUMB	Units	Number
PYR_ZCMP US STD Salary Hourly_County	ZCMP US STD Salary Hourly_County	
PYR_ZCMP US STD Salary Hourly_RATE_AMOUNT	ZCMP US STD Salary Hourly_RATE_AMOUNT	
PYR_ZCMP US STD Salary Hourly_TIME_FACTOR	ZCMP US STD Salary Hourly_TIME_FACTOR	
PYR_ZCMP US STD Salary Hourly_PAYMENT_RATE	ZCMP US STD Salary Hourly_PAYMENT_RATE	
PYR_ZCMP US STD Salary Hourly UxR_City	ZCMP US STD Salary Hourly UxR_City	
PYR_ZCMP US STD Salary Hourly UxR_State	ZCMP US STD Salary Hourly UxR_State	
PYR_ZCMP US STD Salary Hourly UxR_Units	ZCMP US STD Salary Hourly UxR_Units	
PYR_ZCMP US STD Salary Hourly UxR_County	ZCMP US STD Salary Hourly UxR_County	
PYR_ZCMP US STD Salary Hourly UxR_RATE_AMOUNT	ZCMP US STD Salary Hourly UxR_RATE_AMOUNT	
PYR_ZCMP US STD Salary Hourly UxR_TIME_FACTOR	ZCMP US STD Salary Hourly UxR_TIME_FACTOR	
